trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,0,-87.78811793916387,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,0,-140.11233033452373,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,0,-166.60881437530253,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-95.45466139973531,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,0,-134.15525549534271,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-50.92019500953102,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-153.81658928303008,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-95.35573287383276,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",25,0,-203.34714745181236,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-58.555726406792644,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",25,6,-56.738565580702044,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",35,15,-60.62662192684281,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",35,0,-286.7164732111269,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 5}",0
